"Estación","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"Barahona",1740,1053.6,1435.3,815.3,1183,584.1,997.8,1080,1423.9,704.7,1011.6,1075.2,983.1,1112.5,968.5,1622.4,956,965.65,662.6,684.6,662.7,600,600,997.6,942.6,972.6,1274.6,1118.4,1531.3,1136.8,583.3,1036.3,1280.2,1726.3,576.2,845.9
"Bayaguana",2794.3,1761.5,2412.4,1758.6,1857.1,1645.6,1928.3,2182.2,2273.5,1813.2,1730.6,1823.4,1850.3,1765.7,1606.2,1892.8,1360.1,1867.7,1618.6,2156.6,1712.5,1868.5,1796.1,1658,2117.3,1554.2,2102.8,2097.1,2137.6,1831.2,1607.9,1881.6,1849.9,2350.8,2108,1505.6
"Cabrera",2035,1276.8,NA,2136.9,1703.8,1888.7,1557.1,1597,2059.7,NA,1176.9,1183.4,957.6,NA,NA,NA,NA,NA,NA,NA,NA,1538.6,1852.9,946.9,1810.95,2053.3,1451.1,1957.9,NA,NA,NA,2411.4,1920.1,2821.3,NA,1975.6
"Constanza",1652.1,1166.9,1343.3,921.2,828.4,NA,892.8,715.8,786.9,837.7,671.5,875.35,NA,858.6,858.6,900.7,839.4,1167.3,525.1,1492.7,1077.8,951.3,787.1,959.2,1084.1,985.9,1245.2,1162.2,1661.4,1072.9,902.8,1024.5,1008.2,1188.1,1016.3,764.1
"Gaspar Hernández",NA,1443.8,2174.9,1844.1,1688.8,2208.8,1895.5,2874.7,2360.8,1426.3,1214.2,1530.7,NA,1257.5,1345.3,1824.9,1665.45,2656.8,984.8,2147.9,1791.9,1716.9,2178.8,1093.4,2058.5,1906.8,2001.85,1992,3282.65,1866.3,2386.1,2639.2,1727.2,2524,1448.2,1928.7
"Hondo Valle",1823.6,1778.2,2203.7,1709.9,1841.3,1796.6,1309.5,1589.7,1778.8,1766.5,1722.8,1596.1,1088.4,1731,1887,1772,1288.3,1447.9,912.65,1813.9,1762.2,2285.9,1604.3,1477.4,1628.1,1617.7,1554.65,1487.15,1487.15,1399.15,1461.9,2005.6,1309,1736.8,1390.2,908.9
"Jimaní",1060.7,639.1,960.2,507.5,610.7,641.5,689.6,802.4,648.9,521,680.7,880,311.6,809.2,472.9,840.2,909,816.2,358.2,824.1,1037,833.9,488.4,510.1,656.7,866.9,929.3,963.9,1084,751.1,694.9,807.1,879.5,1037.3,292.9,502
"La Unión",1781.5,1630.6,2304.4,1413.1,1288.4,1499.4,1157.1,1313.1,1786.5,1888.8,1222.8,1808,1250.4,1555.2,1484.8,1035.9,877.7,1980.5,554.2,1744.1,1314.3,1148.5,1360.5,972.1,1802,2550.1,2034.3,2106.6,2764.8,1536.3,1605.8,2255.6,1719.2,2484.3,1299.2,1741.5
"La Vega",1833.5,1304.3,1993.7,1483.2,1353.9,1550.1,1084.9,1767.1,1663.2,1934.9,1192.4,1664.4,1146.4,1565.6,1855.4,1455.7,1175.4,1772.5,1018.8,1549.6,1817.9,1368.6,1522,1200.7,2290.6,1825.7,1245.2,1162.2,1661.4,1072.9,2867.4,1486.4,1434.1,2204.7,1227,1812.5
"Las Américas",1958.4,958.7,1513.4,787.4,975.5,954.9,1398.2,1419,1866.4,1620.5,1151.7,NA,997,NA,NA,NA,1017.5,1019.6,651.2,1218.6,1125.9,809.7,747.6,933.4,1083.6,1338.9,1744.6,1141.7,1457.5,1718.4,1369.1,2422.4,1885.5,1658.7,1039.6,909.4
"Moca",1571.2,1169.8,1493.6,1426.3,975.4,1256.8,1183.6,1136,1257,1513.5,1034.9,1639.5,780.3,935.95,1158.4,1182.1,1026.1,1345.7,646.2,1036.4,1270,852.4,1045.2,677.3,1734.6,1541.2,1916.6,1392.9,2429.8,1144.3,1342.3,1360.9,1291.5,1799.5,1384.2,1094.2
"Monte Cristi",835,991.6,642.7,439.2,447.3,579.4,683.7,511.6,870,670.5,454.5,679.9,NA,420.4,466.8,650.05,NA,787,649.3,929.4,714.1,818.3,NA,581.6,1058.1,896.2,912.6,766.7,1027.7,560.5,525.1,1096.9,424.1,1351.4,425.7,603.7
"Padre Las Casas",1345,845.4,743,567.9,627.3,824.6,598.9,816.8,873.3,764,683.2,785.4,523,734.3,763.8,750.4,634.3,794.5,374,1084.8,696.7,431,543.7,569.2,771.1,691.35,914.5,636.15,636.15,659.1,782,684.9,868.6,1001.5,938.5,872.3
"Polo",3054.2,1523.2,2124.8,1687.6,1320.2,1429.9,2227.3,703.2,2203.7,2050.9,1744.79230769231,2077.1,NA,1929.63548245614,NA,1646.9,1451.1,1688.9,1486.4,1641.5,1151.4,NA,1228.1,1602.5,1777.8,1646.9,2145.70067476383,1734,2417.3,2129.6,1633.5,2373.4,2173.5,2726.4,2058.5,1798.4
"Punta Cana",1449.5,1078.2,1663.1,1224,920.7,1095.8,964.6,1145.75,1297.7,1236,746.9,917.6,NA,1190.6,821.1,1119.7,1029.1,1483.6,1072.3,1284.9,875.2,994.7,1106.5,943.4,1220.1,1229.4,1125.2,1323.3,1356.1,1490.8,1292.6,1305,1577.6,1555.6,1027.1,876.8
"Rancho Arriba",NA,453.8,1760,1376.35,1230.35,1583.1,1549.95,1290.5,1639.6,2062.2,1494.3,1608.4,1217.6,1858.2,1651.9,1391,1361.1,2043.4,698.7,1988.2,1690.15,1364.8,1294.75,1477.3,1856.3,1831.9,1835.6,1521.8,2467.3,2112.1,1582.4,1683.2,1042.4,1918.3,868.8,1410.3
"Río San Juan",3621,1627.2,3004.5,2651.3,2300.9,2350.1,1993.5,2529.4,2872.9,2670,2072,2261.2,NA,2429.2,2047.4,1879.7,2394.7,2729.9,1752.3,3011.3,2669.1,1555.7,1913.6,1594.6,1894.6,2053.3,1451.1,2465.3,2763.5,2376,2350.5,2101.3,1325.9,1681.4,890.1,1251.2
"Sabana de la Mar",3621,1627.2,3004.5,2651.3,2300.9,2350.1,1993.5,2529.4,2872.9,2670,NA,2248.7,1890.7,2429.2,2034.9,1879.7,2394.7,4108.4,1752.3,3011.3,2669.1,1555.7,1913.6,1594.6,1888.6,2053.3,2280.4,1788.8,2165.6,1688,2684.15,2695,2520.4,2599,2197.6,1499
"Salcedo",NA,NA,1546.9,1419.7,1195.1,1278.4,1266.1,1386.2,1564.4,2001.3,1101.4,1462.8,941,1272.2,1095.3,1042.1,1218,NA,NA,1580.55,1875.5,1235.8,1735.3,1189.1,1401.3,2014,2135.7,1682.3,2363.2,1611.7,1627.6,1884.3,2100.3,1700.9,1877.1,1723.4
"Samaná",3106.2,1859.4,2449,2515,2201.4,2362.9,1959.3,2880.9,2286.6,2613.5,2335.1,1861.5,NA,2087.2,2244.4,1793,2020.9,3299.9,1559,2550.3,2177.4,1316.5,2011.7,1815.3,2061,1891.2,2382.2,2135.7,1682.3,2363.2,1611.7,1627.6,1884.3,2100.3,1700.9,1931.3
"San Cristóbal",2925.8,938.1,1184.9,1316.6,1234.3,1384.7,NA,NA,1481.9,1768.2,1420.6,1371.9,1286.6,1759.6,1772.3,1933.7,1849.2,1824.4,1108.1,1878.7,1193.8,1156.2,1085.3,1498.4,1695.6,1685.9,1641.7,1361.6,1689,1704.2,1613.7,1361.8,1417.4,1885.3,1188.4,1352.8
"Santiago",1550.8,934.3,1326.9,950.6,913.6,1268.2,847.2,870.6,1424.7,1288.4,724,1104.4,496.5,1045.3,953.4,736.9,652.8,992.2,398,NA,NA,744,764.2,528.2,1518.9,1394.7,1411.6,1209.9,1992.3,878.3,1170.9,1499.7,1353.1,1687.2,1139.4,991
"Santiago Rodríguez",1407,1206.7,968,1024.4,1012.7,1189.3,1252.1,622.9,1269.25,1186.6,1003.1,1175.3,NA,1035.7,1463.7,978.3,1188.3,1245,1033.6,1265.8,1392.2,925.4,1390.5,1157.3,1485.4,1104.4,1317.5,1528.1,1818.1,1021.8,1445.2,1421.1,1207.6,1434.7,1096.4,1287.4
"Santo Domingo",2232.6,1257.8,1623.2,1278.7,1355,1331.5,1749.3,1815,2003.1,2024.6,1613.6,1482.3,NA,1224.8,1478.4,1219.5,1620.5,1369.4,1271.3,1987.1,1529.5,1241.1,1261.1,1208.8,1561.8,1509.4,1505.9,1209.7,1916,2098.9,1559.2,1876.3,2118.8,1554,1262.9,1242.8
"Villa Vázquez",NA,1072.3,903.2,418.8,393.1,687.8,489.8,405.4,735.8,663.8,499.5,512.8,NA,508.3,677,955.9,820.4,787,649.3,929.4,714.1,818.3,776.2,581.6,1058.1,896.2,912.6,766.7,1209.1,721.6,866.3,869.2,654.5,962.8,587,1040
